제목,태그,조회수,영상길이,날짜, 댓글수 , 좋아요수 
오버워치에서 월샷이 된다면? 대박 ㅋㅋㅋ,레식/오버워치/ 오버워치/Overwatch/오버워치 Bighead Overwatch/overwatch/오버워치 워크샵/오버워치 월샷/월샷,158153,10:07,2019-06-23,333,1700
【오버워치】 세상에서 가장 어려운 점프맵2,오버워치/Overwatch/오버워치  오버워치/ Overwatch/ 오버워치 워크샵/오버워치 워크샵/세상에서 가장 어려운 점프맵/오버워치 점프맵,187729,13:46,2019-06-24,195,2000
오버워치 맥크리가 공격속도가 올라갔다고요? 미쳤네,레식/오버워치/오버워치 맥크리/맥크리 상향/맥크리 버프/맥크리 공속/맥크리 공격속도,183306,10:02,2019-06-26,375,2100
"김블루, 페뇨와 카운터 스트라이크(글옵)를 해보았습니다.",CS:go/합방/김블루/페뇨/CS GO/김블루 카스/카스온라인/ 카운터 스트라이크/카운터스트라이크/글로벌 오펜시브/글옵/ 글옵,128693,10:57,2019-06-27,303,1900
오버워치에 한국인은 못 깨는 디펜스가 있다고?,오버워치 한국인/한국인/한국인은 못 깨는 디펜스/한국인은 못/오버워치 한국인은 절대 못 깨는 디펜스/ 오버워치/Overwatch/오버워치 워크샵/오버워치,229119,6:53,2019-06-29,154,2000
오버워치 반년 만에 경쟁전… 바로 정치당함ㅠㅠ,오버워치/Overwatch/ 오버워치/ Overwatch/경쟁전/오버워치 경쟁전/오버워치 정치,113320,11:17,2019-06-30,302,1600
레식 한국지점에 놀러가서 선물 받아 온 후기 + 랭크,레식/레식 선물/선물/레인보우식스 시즈/ 레식/ 레인보우식스 시즈/rainbowsix siege/r6s,72195,8:05,2019-07-01,232,1400
오버워치에 새로나오 【이것】 무엇일까요?,오버워치/ 오버워치/Overwatch/오버워치 경쟁전/오버워치 워크샵/젠낙시/오버워치 젠낙지/오버워치 젠야타/오버워치 쪼낙,253501,10:03,2019-07-03,492,2900
오버워치 워크샵1위 혈압마라톤…우주판 등장?,오버워치/Overwatch/오버워치 오버워치 워크샵/ 오버워치/ 워크샵/혈압마라톤/ 혈압마라톤/오버워치 혈압마라톤,160537,7:23,2019-07-06,165,1800
오버워치에 【인싸드립 나↗니→】 모드가 나왔다!?,오버워치/ 오버워치/워크샵/오버워치 워크샵/오버워치 나니/나니/과로사/이이잉 앗살라마이쿰/이이잉/오마에와 모 신데이루,76584,7:03,2019-07-08,215,1200
방송하다가 시청자들이랑 싸웠습니다. 후…,초이스 챔버/시청자/ 방송/방송/쵸이스 챔버/choice chamber/시청자 참여/시참,81012,10:35,2019-07-09,81,1300
세상에서 가장 유명한 탱크게임(Feat.양아지),탱크/오버워치 탱크/ 탱크/월드 오브 탱크/월탱/합방/양아지/양아지 ,43484,8:52,2019-07-11,249,915
오버워치에서 제일 성가신 영웅 【킹메트라 시메트라 갓메트라】,오버워치 시메트라/시메트라/overwatch/ 시메트라/ 오버워치/ Overwatch/오버워치,287723,10:17,2019-07-13,429,3600
민트초코라면 먹고 오버워치하면 생기는 일, 오버워치/오버워치/민트초코/민트초코라면/괴식/ 민트초코라면/오버워치 민트초코/오버워치 메이,176110,11:14,2019-07-15,646,2700
오버워치 겐지 신스킨! 궁쓰면 죽도 뽑히나? 이벤트 리뷰,오버워치 겐지/겐지/오버워치 하계스포츠/Overwatch/오버워치/오버워치 하계스포츠 대회 리뷰/하계스포츠 오버워치 2019/옵치/ 오버워치,310991,6:18,2019-07-17,588,3500
레식에서 가장 완벽하게 숨는 법 ㅋㅋ 절대 안 들킴 ㅋㅋ,레식/ 레식/레식 PC방 무료화/레인보우식스 시즈/레인보우식스/ 레인보우식스 시즈/rainbowsix siege/r6s,58632,10:11,2019-07-18,116,1100
오버워치 라인 장인으로 만들어주는 워크샵모드 발견,오버워치/라인하르트/오버워치 라인하르트/라인하르트 연습모드/라인 연습모드/ 라인하르트/ 라인/ 오버워치/Overwatch/오버워치 워크샵,99331,10:05,2019-07-19,244,1500
